Volkswagen,Gol Sedan,Auto,Automatico,Cancœn,5,693
Chevrolet,Matiz,Auto,Manual,Monterrey,4,577
Volkswagen,Gol,Auto,Manual,Merida,4,627
Chevrolet,Spark,Auto,Manual,Los Cabos,4,627
Chevrolet,Sonic,Auto,Manual,Playa del Carmen,5,858
Kia,Rio Hatchback,Auto,Manual,Cancœn,5,858
Dodge,Attitude,Auto,Automatico,Ciudad de MŽxico,5,907
Volkswagen,Jetta,Auto,Manual,Monterrey,5,1056
Volkswagen,Jetta,Auto,Automatico,Cancœn,5,1089
Hyundai,Sonata,Auto,Automatico,Los Cabos,5,1155
Mitsubishi,Lancer,Auto,Automatico,Playa del Carmen,5,1089
Chevrolet,Malibu,Auto,Automatico,Cancœn,5,1155
Volkswagen,Passat,Auto,Automatico,Monterrey,5,1155
Nissan,Sentra,Auto,Manual,Ciudad de MŽxico,5,990
Fiat,F500 Cabrio,Auto,Manual,Playa del Carmen,4,1237
Audi,Q3,Camioneta,Automatico,Monterrey,5,1485
Volkswagen,Tiguan,Camioneta,Automatico,Cancœn,5,1485
BMW,X1,Camioneta,Automatico,Los Cabos,5,1485
Jeep,Wrangler Sport,Camioneta,Manual,Cancœn,4,1155
Jeep,Unlimited Sahara,Camioneta,Automatico,Playa del Carmen,4,1237
Jeep,Unlimited Sahara,Camioneta,Automatico,Cancœn,5,1188
Dodge,Grand Caravan,Camioneta,Automatico,Monterrey,7,1716
Chrysler,Town & Country,Camioneta,Automatico,Ciudad de MŽxico,7,1716
Chevrolet,Van Express,Camioneta,Automatico,Los Cabos,12,2046
Nissan,Rouge,Camioneta,Automatico,Merida,5,1022